Name RA Dec
LATISS_POLE_001 00:00:00 -89:53:48.25887765
LATISS_POLE_002 02:10:54.54545455 -89:53:48.25887765
LATISS_POLE_003 04:21:49.09090909 -89:53:48.25887765
LATISS_POLE_004 06:32:43.63636364 -89:53:48.25887765
LATISS_POLE_005 08:43:38.18181818 -89:53:48.25887765
LATISS_POLE_006 10:54:32.72727273 -89:53:48.25887765
LATISS_POLE_007 13:05:27.27272727 -89:53:48.25887765
LATISS_POLE_008 15:16:21.81818182 -89:53:48.25887765
LATISS_POLE_009 17:27:16.36363636 -89:53:48.25887765
LATISS_POLE_010 19:38:10.90909091 -89:53:48.25887765
LATISS_POLE_011 21:49:05.45454545 -89:53:48.25887765
LATISS_MD02_00000001 03:30:40.1880141 -27:20:01.35827279
LATISS_MD02_00000002 03:31:05.56991774 -27:20:01.35827279
LATISS_MD02_00000003 03:31:30.95182139 -27:20:01.35827279
LATISS_MD02_00000004 03:31:56.33372503 -27:20:01.35827279
LATISS_MD02_00000005 03:32:21.71562867 -27:20:01.35827279
LATISS_MD02_00000006 03:32:47.09753231 -27:20:01.35827279
LATISS_MD02_00000007 03:33:12.47943596 -27:20:01.35827279
LATISS_MD02_00000008 03:33:37.8613396 -27:20:01.35827279
LATISS_MD02_00000009 03:34:03.24324324 -27:20:01.35827279
LATISS_MD02_00000010 03:30:25.93354896 -27:25:39.23486365
LATISS_MD02_00000011 03:30:51.33784181 -27:25:39.23486365
LATISS_MD02_00000012 03:31:16.74213467 -27:25:39.23486365
LATISS_MD02_00000013 03:31:42.14642752 -27:25:39.23486365
LATISS_MD02_00000014 03:32:07.55072038 -27:25:39.23486365
LATISS_MD02_00000015 03:32:32.95501323 -27:25:39.23486365
LATISS_MD02_00000016 03:32:58.35930609 -27:25:39.23486365
LATISS_MD02_00000017 03:33:23.76359894 -27:25:39.23486365
LATISS_MD02_00000018 03:33:49.1678918 -27:25:39.23486365
LATISS_MD02_00000019 03:34:14.57218465 -27:25:39.23486365
LATISS_MD02_00000020 03:30:37.08063567 -27:31:17.10932003
LATISS_MD02_00000021 03:31:02.50735727 -27:31:17.10932003
LATISS_MD02_00000022 03:31:27.93407887 -27:31:17.10932003
LATISS_MD02_00000023 03:31:53.36080047 -27:31:17.10932003
LATISS_MD02_00000024 03:32:18.78752207 -27:31:17.10932003
LATISS_MD02_00000025 03:32:44.21424367 -27:31:17.10932003
LATISS_MD02_00000026 03:33:09.64096527 -27:31:17.10932003
LATISS_MD02_00000027 03:33:35.06768687 -27:31:17.10932003
LATISS_MD02_00000028 03:34:00.49440848 -27:31:17.10932003
LATISS_MD02_00000029 03:30:48.24742268 -27:36:54.98164085
